t_frame_ns,t_detect_ns,t_predict_ns,t_cmd_ns,had_meas,had_hint
762463798579400,762463883511000,762463883690500,762463883690500,0,0
762463903035600,762463985458500,762463985637400,762463985637400,0,0
762464000119400,762464083135700,762464083310100,762464083310100,0,0
762464111694400,762464194745900,762464194925600,762464194925600,0,0
762464222203300,762464307126200,762464307305000,762464307305000,0,0
762464333323900,762464416058000,762464416234800,762464416234800,0,0
762464444469500,762464527617600,762464527791800,762464527791800,0,0
762464555679300,762464637357000,762464637550600,762464637550600,0,0
762465896587500,762465980079600,762465980252000,762465980252000,0,0
762466007282700,762466092591400,762466092770100,762466092770100,0,0
762466111247300,762466194220100,762466194395100,762466194395100,0,0
762466208574500,762466290968400,762466291156300,762466291156300,0,0
762466312583600,762466396626900,762466396803000,762466396803000,0,0
762466409783600,762466492184900,762466492361300,762466492361300,0,0
762466506984400,762466589262600,762466589500100,762466589500100,0,0
762466618138900,762466701826200,762466702168900,762466702168900,0,0
762466729584900,762466813483000,762466813660500,762466813660500,0,0
762466833988400,762466916836300,762466917012400,762466917012400,0,0
762466930631100,762467012794400,762467012970600,762467012970600,0,0
762467028033900,762467111798500,762467111973300,762467111973300,0,0
762467138905900,762467222300300,762467222475500,762467222475500,0,0
762467250036600,762467333246100,762467333424600,762467333424600,0,0
762467360927800,762467444842400,762467445018700,762467445018700,0,0
762467472232000,762467557160900,762467557340900,762467557340900,0,0
762467583185200,762467670101300,762467670317100,762467670317100,0,0
762467694616700,762467780024500,762467780203900,762467780203900,0,0
762467805824300,762467889752100,762467889928900,762467889928900,0,0
762467910201000,762467994001800,762467994177200,762467994177200,0,0
762468006772200,762468089005400,762468089180000,762468089180000,0,0
762468104312700,762468186540700,762468186711500,762468186711500,0,0
762468194823400,762468278179700,762468278358300,762468278358300,0,0
762468291757000,762468374786500,762468374963400,762468374963400,0,0
762468388770400,762468471290600,762468471640400,762468471640400,0,0
762468492951400,762468575001900,762468575175800,762468575175800,0,0
762468590339300,762468675317000,762468675537100,762468675537100,0,0
762468701394300,762468785848600,762468786023900,762468786023900,0,0
762468813054100,762468897811500,762468897991100,762468897991100,0,0
762468923851900,762469006315900,762469006492000,762469006492000,0,0
762469034517800,762469117366800,762469117541800,762469117541800,0,0
762469138873500,762469221542700,762469221715900,762469221715900,0,0
762469235945100,762469318602700,762469318777900,762469318777900,0,0
762469458848900,762469542463000,762469542644000,762469542644000,0,0
762469570395900,762469657636700,762469657830600,762469657830600,0,0
762469680302400,762469766622900,762469766898800,762469766898800,0,0
762469791458600,762469880933600,762469881115900,762469881115900,0,0
762469896289900,762469981708700,762469981893400,762469981893400,0,0
762470007171600,762470089846000,762470090020200,762470090020200,0,0
762470104331400,762470187052700,762470187227300,762470187227300,0,0
762470215166700,762470297486300,762470297757100,762470297757100,0,0
762470326873700,762470413132500,762470413309000,762470413309000,0,0
762470430545800,762470515541800,762470515770200,762470515770200,0,0
762470527958800,762470613571600,762470613754200,762470613754200,0,0
762470638922600,762470725462700,762470725808500,762470725808500,0,0
762470750197000,762470837008900,762470837186600,762470837186600,0,0
762470861959900,762470947414400,762470947657200,762470947657200,0,0
762470972318200,762471056211600,762471056392000,762471056392000,0,0
